,popularity,artist_name,genres,artist_id,followers
45,82,DaBaby,"['north carolina hip hop', 'rap', 'trap']",4r63FhuTkUYltbVAg5TQnk,"{'href': None, 'total': 10038023}"
46,83,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'rap']",2LIk90788K0zvyj2JJVwkJ,"{'href': None, 'total': 2483912}"
47,82,Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rap']",699OTQXzgjhIYAHMy9RyPD,"{'href': None, 'total': 6974445}"
48,80,Kodak Black,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']",46SHBwWsqBkxI7EeeBEQG7,"{'href': None, 'total': 8452117}"
49,86,Lana Del Rey,"['art pop', 'pop']",00FQb4jTyendYWaN8pK0wa,"{'href': None, 'total': 17660262}"
50,78,Kali Uchis,"['colombian pop', 'pop']",1U1el3k54VvEUzo3ybLPlM,"{'href': None, 'total': 3125184}"
51,86,Anuel AA,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",2R21vXR83lH98kGeO99Y66,"{'href': None, 'total': 23396712}"
52,79,Mitski,"['brooklyn indie', 'indie pop']",2uYWxilOVlUdk4oV9DvwqK,"{'href': None, 'total': 3539498}"
53,77,Eslabon Armado,"['corrido', 'corridos tumbados', 'nueva musica mexicana', 'sierreno']",0XeEobZplHxzM9QzFQWLiR,"{'href': None, 'total': 2589349}"
54,76,Jhené Aiko,"['dance pop', 'pop', 'r&b', 'urban contemporary']",5ZS223C6JyBfXasXxrRqOk,"{'href': None, 'total': 5751456}"
55,80,Rex Orange County,"['bedroom pop', 'pop']",7pbDxGE6nQSZVfiFdq9lOL,"{'href': None, 'total': 4425837}"
56,84,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",4dpARuHxo51G3z768sgnrY,"{'href': None, 'total': 41668222}"
57,77,Miracle Tones,['meditation'],4rXABp4A7KjG9elWFNAbO4,"{'href': None, 'total': 89506}"
58,74,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",6x2LnllRG5uGarZMsD4iO8,"{'href': None, 'total': 4191235}"
59,76,Lil Yachty,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'underground hip hop', 'viral rap']",6icQOAFXDZKsumw3YXyusw,"{'href': None, 'total': 8303925}"
60,78,Tame Impala,"['australian psych', 'neo-psychedelic']",5INjqkS1o8h1imAzPqGZBb,"{'href': None, 'total': 5910922}"
61,76,NLE Choppa,"['memphis hip hop', 'viral rap']",0ErzCpIMyLcjPiwT4elrtZ,"{'href': None, 'total': 5017341}"
62,77,Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",4xRYI6VqpkE3UwrDrAZL8L,"{'href': None, 'total': 5782627}"
63,84,Jhay Cortez,"['latin', 'reggaeton', 'trap latino']",0EFisYRi20PTADoJrifHrz,"{'href': None, 'total': 4499158}"
64,76,Sleepy Hallow,"['brooklyn drill', 'nyc rap']",6EPlBSH2RSiettczlz7ihV,"{'href': None, 'total': 1034245}"
65,78,Tory Lanez,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",2jku7tDXc6XoB6MO2hFuqg,"{'href': None, 'total': 4564561}"
66,78,Summer Walker,"['pop', 'r&b']",57LYzLEk2LcFghVwuWbcuS,"{'href': None, 'total': 3968549}"
67,76,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",17lzZA2AlOHwCwFALHttmp,"{'href': None, 'total': 7358466}"
68,78,Fleetwood Mac,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",08GQAI4eElDnROBrJRGE0X,"{'href': None, 'total': 8629617}"
69,80,Demi Lovato,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",6S2OmqARrzebs0tKUEyXyp,"{'href': None, 'total': 23087796}"
70,77,Bryson Tiller,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap']",2EMAnMvWE2eb56ToJVfCWs,"{'href': None, 'total': 5889546}"
71,77,Miguel,"['dance pop', 'pop', 'r&b', 'urban contemporary']",360IAlyVv4PCEVjgyMZrxK,"{'href': None, 'total': 4171132}"
72,76,AJR,['modern rock'],6s22t5Y3prQHyaHWUN1R1C,"{'href': None, 'total': 2452073}"
73,77,Russ,"['hawaiian hip hop', 'rap']",1z7b1Pr1rSlvWRzsW3HOrS,"{'href': None, 'total': 4513669}"
74,84,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",7n2wHs1TKAczGzO7Dd2rGr,"{'href': None, 'total': 39076148}"
75,84,Farruko,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",329e4yvIujISKGKz1BZZbO,"{'href': None, 'total': 13814975}"
76,72,Tyler Childers,"['kentucky indie', 'kentucky roots', 'outlaw country']",13ZEDW6vyBF12HYcZRr4EV,"{'href': None, 'total': 1280058}"
77,83,Charlie Puth,"['dance pop', 'pop', 'viral pop']",6VuMaDnrHyPL1p4EHjYLi7,"{'href': None, 'total': 17200989}"
78,77,JID,"['hip hop', 'rap', 'underground hip hop']",6U3ybJ9UHNKEdsH7ktGBZ7,"{'href': None, 'total': 943302}"
79,73,Key Glock,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",0RESbWvOMyua0yuyVrztJ5,"{'href': None, 'total': 1300617}"
80,79,2Pac,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",1ZwdS5xdxEREPySFridCfh,"{'href': None, 'total': 13392047}"
81,76,T-Pain,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",3aQeKQSyrW4qWr35idm0cy,"{'href': None, 'total': 3959760}"
82,86,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",1Cs0zKBU1kc0i8ypK3B9ai,"{'href': None, 'total': 24718363}"
83,81,Grupo Firme,"['musica mexicana', 'norteno', 'nueva musica mexicana', 'sierreno']",1dKdetem2xEmjgvyymzytS,"{'href': None, 'total': 7021563}"
84,72,Kenny Chesney,"['contemporary country', 'country', 'country road']",3grHWM9bx2E9vwJCdlRv9O,"{'href': None, 'total': 4019999}"
85,76,NAV,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'rap', 'toronto rap', 'trap']",7rkW85dBwwrJtlHRDkJDAC,"{'href': None, 'total': 3057401}"
86,73,Zac Brown Band,"['contemporary country', 'country', 'country road', 'modern country rock']",6yJCxee7QumYr820xdIsjo,"{'href': None, 'total': 3249943}"
87,72,Young Dolph,"['gangster rap', 'hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",3HiuzBlSW7pGDXlSFMhO2g,"{'href': None, 'total': 2164636}"
88,76,Mac DeMarco,"['edmonton indie', 'lo-fi indie']",3Sz7ZnJQBIHsXLUSo0OQtM,"{'href': None, 'total': 2965438}"
89,80,Luis R Conriquez,"['corrido', 'nueva musica mexicana']",0pePYDrJGk8gqMRbXrLJC8,"{'href': None, 'total': 1024732}"
